Permit Number,Permittee Name,Project Name,Mechanical or Non-Mechanical,County,City,Lat.,Long.,HUC 8 ID#,Watershed Name,Discharge Stream,Class,Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0060747,Town of Cumberland Gap,Cumberland Gap STP,Mechanical - Suspended Growth,Claiborne,Cumberland Gap,36.598333,-83.669444,06010206,Powell River,Gap Creek at mile 8.7,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0021245,Town of Dandridge,Dandridge STP,Mechanical - Suspended Growth,Jefferson,Dandridge,36.017369,-83.409781,06010107,Lower French Broad River,Douglas Lake at French Broad River mile 45.5,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0078131,"Harbor Crest Homeowner's Association, Inc. d/b/a Harbor Crest Condominium Association",,Mechanical - Attached Growth,Jefferson,Dandridge,35.966666,-83.475,06010107,Lower French Broad River,French Broad River at mile 38.01,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0020478,City of Dayton,Dayton STP,Mechanical - Suspended Growth,Rhea,Dayton,35.48555,-85.016269,06020001,Lower Tennessee River,Tennessee River at mile 504,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0058521,Town of Decatur,Decatur STP,Mechanical - Suspended Growth,Meigs,Decatur,35.492418,-84.822176,06020001,Lower Tennessee River,Tennessee River at mile 514.8,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0022985,Town of Decaturville,Decaturville WWTP,Mechanical - Suspended Growth,Decatur,Decaturville,35.571414,-88.113772,06040001,Beech River,Rushing Creek at mile 5.5,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0020508,City of Decherd,Decherd Water Works STP,Mechanical - Suspended Growth,Franklin,Decherd,35.203168,-86.078789,06030003,Upper Elk River,Wagner Creek at mile 2.4,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0066958,Water Authority of Dickson County,Jones Creek STP,Mechanical - Suspended Growth,Dickson,Dickson,36.104785,-87.3138,05130204,Harpeth River,Jones Creek at mile 21.7,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0022667,Town of Dover,Dover STP,Mechanical - Suspended Growth,Stewart,Dover,36.487505,-87.843502,05130205,Lake Barkley,Barkley Reservoir at Cumberland River mile 88.6,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0021717,City of Dresden,Printing Factory Wastewater Lagoon,Non-Mechanical Lagoon,Weakley,Dresden,36.252069,-88.651875,08010203,South Fork Obion River,Middle Fork-Obion River at mile 18.3,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0062286,City of Dresden,Dresden Lagoon STP,Non-Mechanical Lagoon,Weakley,Dresden,36.294971,-88.7171,08010203,South Fork Obion River,Middle Fork Obion River at mile 14.6,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0059358,Copper Basin Utility District,Copper Basin U.D. STP,Mechanical - Suspended Growth,Polk,Ducktown,35.031742,-84.3974,06020003,Ocoee River,Ocoee River at mile 33.1,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0021946,City of Dunlap,Dunlap STP,Mechanical - Suspended Growth,Sequatchie,Dunlap,35.366807,-85.383738,06020004,Sequatchie River,Sequatchie River at mile 43.9,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0021563,City of Dyer,Dyer STP,Mechanical - Suspended Growth,Gibson,Dyer,36.071854,-89.005164,08010204,North Fork Forked Deer River,Sand Creek at mile 1.6,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0023477,City of Dyersburg,Dyersburg STP,Mechanical - Suspended Growth,Dyer,Dyersburg,36.029166,-89.418055,08010204,North Fork Forked Deer River,North Fork Forked Deer River at mile 2.8,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0023515,City of Elizabethton,Elizabethton STP,Mechanical - Suspended Growth,Carter,Elizabethton,36.353467,-82.249018,06010103,Watuaga River,Watauga River at mile 24.3,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0076007,City of Elkton,Elkton STP,Mechanical - Attached Growth,Giles,Elkton,35.058295,-86.886988,06030003,Upper Elk River,Elk River at mile 49.2,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0021938,Town of Englewood,Englewood STP,Mechanical - Suspended Growth,McMinn,Englewood,35.416944,-84.489722,06020002,Hiwassee River,Chestuee Creek Mile 42.4,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0064882,City of Erin,Erin STP,Mechanical - Suspended Growth,Houston,Erin,36.367251,-87.654095,05130205,Lake Barkley,Cumberland River at mile 103.7,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0023001,Erwin Utilities Authority,Erwin STP,Mechanical - Attached Growth,Unicoi,Erwin,36.143212,-82.425589,06010108,Nolichucky,Nolichucky River at mile 94.4,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0063771,City of Etowah,Etowah STP,Mechanical - Suspended Growth,McMinn,Etowah,35.280996,-84.556058,06020002,Hiwassee River,Conasauga Creek at mile 8.0,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0062332,Water Authority of Dickson County,Fairview STP,Mechanical - Suspended Growth,Williamson,Fairview,36.021977,-87.112095,05130204,Harpeth River,Flatrock Branch at mile 2.15,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0023353,First Utility District of Knox County,Turkey Creek STP,Mechanical - Suspended Growth,Knox,Farragut,35.8628,-84.1442,06010201,Watts Bar Lake,Tennessee River (Ft. Loudoun Reservoir) at mile 616.5,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0021814,Fayetteville Public Utilities (FPU),Fayetteville STP,Mechanical - Suspended Growth,Lincoln,Fayetteville,35.141667,-86.566667,06030003,Upper Elk River,Elk River at mile 90.0,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0021296,"CH2M HILL Constructors, Inc.",CH2M HILL WWTP,Mechanical - Suspended Growth,Montgomery,Fort Campbell,36.61104,-87.46233,05130206,Red River,Little West Fork Creek at mile 10.4,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0027278,"Limestone Water Utility Operating Company, LLC",Grassland STP,Mechanical - Suspended Growth,Williamson,Franklin,36.010178,-86.894733,05130204,Harpeth River,Harpeth River at mile 68.8,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0028827,City of Franklin,Franklin Water Reclamation Facility (WRF),Mechanical - Suspended Growth,Williamson,Franklin,35.94345,-86.86879,05130204,Harpeth River,Harpeth River at at mile 85.2,M,"MW, RU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0029718,"Berry's Chapel Utility, Inc.",Berry's Chapel Utility STP,Mechanical - Suspended Growth,Williamson,Franklin,35.97471,-86.91213,05130204,Harpeth River,Harpeth River at mile 77.9,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0026581,Town of Gainesboro,Gainesboro STP,Mechanical - Suspended Growth,Jackson,Gainesboro,36.373333,-85.656111,05130106,Cordell Hull Reservoir,Cumberland River at mile 357.3,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0020141,Gallatin Public Utilities,Gallatin STP,Mechanical - Suspended Growth,Sumner,Gallatin,36.335194,-86.462698,05130201,Old Hickory Lake,Cumberland River (Old Hickory Reservoir) at mile 237.9,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0062138,City of Gallaway,Gallaway STP,Aerated Lagoon,Fayette,Gallaway,35.312225,-89.618256,08010209,Loosahatchie,Loosahatchie River at mile 34.7,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0020117,City of Gatlinburg,Gatlinburg STP,Mechanical - Attached Growth,Sevier,Gatlinburg,35.735458,-83.522716,06010107,Lower French Broad River,West Prong of the Little Pigeon River Mile 16.4,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0055310,Webb Creek Utility District,Webb Creek STP,Mechanical - Suspended Growth,Sevier,Gatlinburg,35.714259,-83.510164,06010107,Lower French Broad River,Webb Creek at mile 2.8,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0062294,City of Gleason,Gleason STP,Non-Mechanical Lagoon,Weakley,Gleason,36.233503,-88.604926,08010203,South Fork Obion River,Middle Fork Obion River at mile 21.3,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0022560,City of Grand Junction,Municipal Oxidation Pond,Non-Mechanical Lagoon,Hardeman,Grand Junction,35.032696,-89.185619,08010210,Wolf River,Sandy Branch at mile 3.0,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0028789,City of Johnson City,Regional WWTP,Mechanical - Suspended Growth,Washington,Gray,36.444703,-82.445573,06010102,South Fork Holston River,South Fork Holston River Mile 18.0 (Fort Patrick Henry Lake),M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0062316,"Foothills Pointe Owners' Association, Inc.",,Non-Mechanical Wetlands,Loudon,Greenback,35.648689,-84.230473,06010204,Little Tennessee River,Tellico Reservoir (Little Tennessee River) at mile 13.4,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0020621,City of Greenbrier,Greenbrier STP,Mechanical - Suspended Growth,Robertson,Greenbrier,36.42898,-86.823128,05130206,Red River,unnamed tributary at mile 0.5 to Carr Creek at mile 10.3,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0021229,Town of Greeneville,Denzil Bowman Wastewater Treatment Plant,Mechanical - Suspended Growth,Greene,Greeneville,36.109407,-82.83971,06010108,Nolichucky,Davy Crockett Reservoir at Nolichucky River mile 47.5,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0062065,City of Greenfield,Greenfield Wastewater Lagoon,Non-Mechanical Lagoon,Weakley,Greenfield,36.161963,-88.814861,08010203,South Fork Obion River,Middle Fork Obion River at mile 7.3,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0057291,Town of Halls,Municipal Lagoon,Aerated Lagoon,Lauderdale,Halls,35.8878,-89.3893,08010205,South Fork Forked Deer River,South Fork Forked Deer River at mile 10.8,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0025437,City of Harriman,Harriman STP,Mechanical - Suspended Growth,Roane,Harriman,35.940833,-84.535833,06010208,Emory River,Outfall 001 -Tennessee River at mile 567 or Outfall 002 - Emory River (10.5),M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0030899,Hartsville-Trousdale County Water/Sewer Utility District,Hartsville STP,Mechanical - Suspended Growth,Trousdale,Hartsville,36.3743,-86.17737,05130201,Old Hickory Lake,Cumberland River (Old Hickory Reservoir) at mile 278.6,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0060186,Town of Huntsville,Helenwood STP,Mechanical - Suspended Growth,Scott,Helenwood,36.425822,-84.543246,05130104,South Fork Cumberland River,Phillips Creek Mile 4.1,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0026026,City of Henderson,East Wastewater Lagoon,Non-Mechanical Lagoon,Chester,Henderson,35.451564,-88.608599,08010205,South Fork Forked Deer River,South Fork Forked Deer River Mile 73.2,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0064220,City of Henderson,North Lagoon,Non-Mechanical Lagoon,Chester,Henderson,35.470605,-88.684137,08010205,South Fork Forked Deer River,South Fork Forked Deer River Mile 67.3,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0064238,City of Henderson,South Lagoon,Non-Mechanical Lagoon,Chester,Henderson,35.434951,-88.631626,08010205,South Fork Forked Deer River,South Fork Forked Deer River Mile 74.9,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0060232,White House Utility District,Tanasi Shores WWTP,Mechanical - Suspended Growth,Sumner,Hendersonville,36.30611,-86.53083,05130201,Old Hickory Lake,Cumberland River at river mile 230,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0025011,Town of Henning,Henning Wastewater Lagoon,Non-Mechanical Lagoon,Lauderdale,Henning,35.666667,-89.578056,08010208,Lower Hatchie River,Alston Creek at mile 3.6 to Hatchie River at mile 35.2,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0062588,Humboldt Board of Public Utilities,Humboldt Wastewater Treatment Plant,Mechanical - Suspended/Attached,Gibson,Humboldt,35.815104,-88.926978,08010204,North Fork Forked Deer River,Middle Fork Forked Deer River at mile 23.4,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0026166,Town of Huntingdon,"Hwy 22 Wastewater Lagoon
",Non-Mechanical Lagoon,Carroll,Huntingdon,36.008542,-88.443463,08010203,South Fork Obion River,Beaver Creek at mile 4.2,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0026174,Town of Huntingdon,Barnett Street Wastewater Lagoon,Non-Mechanical Lagoon,Carroll,Huntingdon,35.997509,-88.413244,08010203,South Fork Obion River,Beaver Creek Mile 6.8,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0020753,Town of Huntsville,Huntsville STP,Mechanical - Suspended/Attached,Scott,Huntsville,36.405278,-84.497778,05130104,South Fork Cumberland River,New River at mile 14.8,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0024813,Jackson Energy Authority (JEA),Miller Avenue STP,Mechanical - Suspended Growth,Madison,Jackson,35.639429,-88.86404,08010205,South Fork Forked Deer River,South Fork Forked Deer River at mile 50.8 (Outfall 001) and South Fork Forked Deer River at mile 51.1 (Outfall 002),M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0075876,Jackson Energy Authority (JEA),Middle Fork STP,Mechanical - Suspended Growth,Madison,Jackson,35.75052,-88.874024,08010204,North Fork Forked Deer River,Middle Fork Forked Deer River at mile 29.1,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0062634,City of Jamestown,Jamestown STP,Mechanical - Suspended Growth,Fentress,Jamestown,36.420705,-84.945773,05130105,Obey River,Rockcastle Creek at mile 4.75,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0054585,Town of Jasper,Jasper STP,Aerated Lagoon,Marion,Jasper,35.046202,-85.644026,06030001,Guntersville Lake,Tennessee River Mile 421.5 (Guntersville Lake),M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0021199,Jefferson City,Jefferson City STP,Mechanical - Attached Growth,Jefferson,Jefferson City,36.128786,-83.502636,06010104,Holston River,Mossy Creek Embayment at mile 3.0 of Cherokee Lake,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0022861,Jellico Utilities Authority,Jellico STP,Mechanical - Suspended Growth,Campbell,Jellico,36.589326,-84.133798,05130101,Upper Cumberland River,Elk Fork Creek mile 2.1,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0024236,Johnson City,Knob Creek STP,Mechanical - Suspended Growth,Washington,Johnson City,36.377429,-82.360043,06010103,Watuaga River,Watauga River at mile 11.3,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0024244,Johnson City,Brush Creek WWTP,Mechanical - Suspended Growth,Washington,Johnson City,36.3725,-82.316111,06010103,Watuaga River,Watauga River Mile 16.4,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0081175,Town of Jonesborough,Jonesborough STP,Mechanical - Suspended Growth,Washington,Jonesborough,36.198651,-82.493028,06010108,Nolichucky,Nolichucky River at mile 84.5,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0062359,Town of Kenton,Kenton Wastewater Lagoon,Non-Mechanical Lagoon,Obion,Kenton,36.208393,-89.006612,08010203,South Fork Obion River,Rutherford Fork Obion River Mile 4.5,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0020095,City of Kingsport,Kingsport STP,Mechanical - Suspended/Attached,Sullivan,Kingsport,36.550277,-82.574444,06010102,South Fork Holston River,South Fork Holston mile 2.2,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0061701,City of Kingston,Kingston STP,Mechanical - Suspended Growth,Roane,Kingston,35.850979,-84.51484,06010201,Watts Bar Lake,Clinch River at mile 0.28,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
