Permit Number,Permittee Name,Project Name,Mechanical or Non-Mechanical,County,City,Lat.,Long.,HUC 8 ID#,Watershed Name,Discharge Stream,Class,Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0020591,Town of Bell Buckle,Bell Buckle STP,Mechanical - Suspended Growth,Bedford,Bell Buckle,35.5838,-86.3539,06040002,Upper Duck River,Bell Buckle Creek at mile 0.8,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0026247,City of Bells,Bells Wastewater Lagoon,Non-Mechanical Lagoon,Crockett,Bells,35.7035,-89.098943,08010205,South Fork Forked Deer River,South Fork Forked Deer River at mile 36,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0067334,City of Benton,Benton STP,Mechanical - Suspended Growth,Polk,Benton,35.178333,-84.659167,06020003,Ocoee River,Four Mile Creek Mile 1.7,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0022616,Town of Big Sandy,Municipal Wastewater Treatment Lagoon,Non-Mechanical Lagoon,Benton,Big Sandy,36.235851,-88.092142,06040005,Kentucky Lake,Big Sandy River at mile 15.0,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0023531,City of Bristol,Bristol STP 2,Mechanical - Suspended Growth,Sullivan,Bluff City,36.50201,-82.295304,06010102,South Fork Holston River,Boone Reservoir,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0077917,City of Bolivar,Bolivar STP,Aerated Lagoon,Hardeman,Bolivar,35.290944,-88.999026,08010208,Lower Hatchie River,Hatchie River at mile 131.0,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0062022,Town of Bradford,Bradford STP,Non-Mechanical Lagoon,Gibson,Bradford,36.0879,-88.8074,08010203,South Fork Obion River,South Fork of the Obion River at mile 9.7,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0062367,Brownsville Energy Authority,Brownsville Wastewater Treatment-South Plant,Mechanical - Attached Growth,Haywood,Brownsville,35.584414,-89.269652,08010208,Lower Hatchie River,Hatchie River at mile 76.3,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0075078,Brownsville Energy Authority,Brownsville Energy Authority Lagoon,Aerated Lagoon,Haywood,Brownsville,35.6168,-89.2664,08010205,South Fork Forked Deer River,South Fork Forked Deer River at mile 30.6,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0062014,Town of Bruceton,Bruceton STP,Non-Mechanical Lagoon,Carroll,Bruceton,36.047555,-88.226388,06040004,Kentucky Lake,the Big Sandy River at mile 31.0,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0062626,Town of Byrdstown,Byrdstown STP,Mechanical - Suspended Growth,Pickett,Byrdstown,36.581956,-85.1237,05130105,Obey River,unnamed tributary at mile 0.25 to Town Creek at mile 0.1,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
